Business Name,Email Sent To,Website
Westside Market NYC,wm2589@wmarketnyc.com,https://wmarketnyc.com/2589-broadway/?utm_source=gmb&utm_medium=Yext
Westside Market NYC,wm1407@wmarketnyc.com,https://wmarketnyc.com/1407-lexington-avenue/?utm_source=gmb&utm_medium=Yext
Westside Market NYC,catering110@wmarketnyc.com,https://wmarketnyc.com/2840-broadway/?utm_source=gmb&utm_medium=Yext
ACME Markets,Now008BD364-7E71-49D4-ACDD-A5D6DB14E139@1.00x91E5F43F,https://local.acmemarkets.com/nj/edgewater/481-river-rd.html
Small Business Next Step,info@SmallBusinessNextStep.com,https://smallbusinessnextstep.com/contactus/intro-new.html
East End Wine Exchange,10028212-396-999968eastendwine@gmail.comPagesAboutShipping,http://eastendwines.nyc/
Spring Flowers Children's Boutique,Sample@email.com,https://www.fleurisse.com/pages/boutiques.html
Sara Japanese Pottery,Closedinfo@saranyc.com,http://www.saranyc.com/
Xclusive Arrivals Sneaker Boutique,filler@godaddy.comBookingsOrdersMy,http://xclusivearrivals.com/
Edit New York,rachel@editnewyork.com,http://www.editnewyork.com/
My Computer Tech - We Come to You!,tech@mycomputertechinc.com,http://mycomputertechinc.com/
DJI FIFTH AVENUE,333-2990sales@djinyc.comFROM,https://djinyc.com/fifth-avenue
Audio46 Headphones - Headphone Superstore,info@audio46.com,https://audio46.com/
Techmemoney,info@techmemoney.com,https://www.techmemoney.com/
repair star one wireless,repairstarone@gmail.com,https://www.repairstaronewireless.com/
"Repair Station - Phone, Tablet, Computer",9396support@repairstation.us175,http://repairstation.us/
FixAce - Cell Phone and Tablet Repair,support@fixace.comOur,https://www.fixace.com/
iFixScreens Astoria Blvd,info@ifixscreens.com,https://ifixscreens.com/locations/astoria-ny/?utm_source=Google+&utm_medium=Organic&utm_campaign=Gmb+Astoria+Blvd
My Computer Tech - We Come to You!,tech@mycomputertechinc.com,http://mycomputertechinc.com/
QuickTech Phone Repairs,Repairs.quicktech@gmail.comPhone,https://www.quicktechnyc.com/
We Fix - Phone tablet laptop and watch Repair Near Me & Accessories @ Edgewater,Serv@thewefix.com,http://thewefix.com/
SPR Computer - PC & Mac iPhone Repair,SPRNEWYORK@GMAIL.COM,https://sites.google.com/view/macbookrepairnyc/home
iPhone Repair Service | Buy&Fix Phones,buyandfixphone@gmail.com,http://buyandfixphones.com/
"iFix CP - Phone Repair, Tablet Repair & Accessories @ Cliffside Park",info@ifixcpnj.com,http://www.ifixcpnj.com/
Jack's Place,info@jacksplaceny.com,http://www.jacksplaceny.com/
Forum Technical Solutions,info@forumtechnicalsolutions.com,https://forumtechnicalsolutions.com/
"DriveTech, Inc Computer Repair NYC",support@drivetechpc.com,https://drivetechpc.com/prices/
My Computer Tech - We Come to You!,tech@mycomputertechinc.com,http://mycomputertechinc.com/
Compucare Team,States6463704869compucareteamny@gmail.com,http://www.compucareteamny.com/
repair star one wireless,repairstarone@gmail.com,https://www.repairstaronewireless.com/
Tristate IT,info@tristateit.net,https://tristateit.net/
FixAce - Cell Phone and Tablet Repair,support@fixace.comOur,https://www.fixace.com/
LaptopMD+,info@laptopmd.com,https://www.laptopmd.com/
SPR Computer - PC & Mac iPhone Repair,SPRNEWYORK@GMAIL.COM,https://sites.google.com/view/macbookrepairnyc/home
Computers Made Simply Easy,Easyirma@learncomputerssimplyeasy.com,https://learncomputerssimplyeasy.com/
AV Computers & Printing Services,212-289-0313info@av-computers.comGoogle,https://www.av-computers.com/
"Repair Station - Phone, Tablet, Computer",9396support@repairstation.us175,http://repairstation.us/
212 TecHelp Computer Services,help@212techelp.comCall,https://www.212techelp.com/
Woodside Computers,info@woodsidecomputers.com,http://www.woodsidecomputers.com/
Comptechnyc,sebastian@comptechnyc.com,http://www.comptechnyc.com/
Compuwork,info@cpwk.com,http://www.cpwk.com/
iFixScreens Astoria Blvd,info@ifixscreens.com,https://ifixscreens.com/locations/astoria-ny/?utm_source=Google+&utm_medium=Organic&utm_campaign=Gmb+Astoria+Blvd
Amenity Spa 90,usamenityspa90@gmail.comGood,https://amenityspa90.setmore.com/beta
400 Spa,Restore.spa400newyork@gmail.com,https://spa400newyork.wixsite.com/400-spa
ZZ Day Spa,904-1552zzspabookings@gmail.com,https://zzdayspa.com/
Le Salon Day Spa,LeSalonDaySpaNY@gmail.com,http://www.lesalondayspa.com/
REE Nail & Spa,reespainc@gmail.com,http://www.reespany.com/
Able Nail Spa,info@mysite.comOPENING,https://salons-spa.wixsite.com/ablenailsandspa
Dorothy's Day Spa,contact@dorothysdayspa.com,https://dorothysdayspa.com/
Eastside Massage Therapy,2927info@eastsidemassage.comSince,http://www.eastsidemassage.com/
Spa W,spawnyc@gmail.com1409,https://www.spaw.nyc/
YORKVILLE DAY SPA,info@yorkvilledayspa.com1628,http://www.yorkvilledayspa.com/
Sunshine Health Spa,Sunshinetherapy2021@gmail.com,http://www.hjwtherpy.com/
Four Seasons Spa,10128info@mysite.comCall,https://fourseasonsbeautyspa.wixsite.com/locations/2ndave-newyork
SkinSpirit New York - UES,838-4800east89th@skinspirit.com,https://www.skinspirit.com/locations/nyc-east89/
Berry Blonde Spa,9174467720hello@berryblondespa.com,https://berryblondespa.com/
Diamond Rush Jewelry,Diamondrushjewelry@gmail.com,http://diamondrushnyc.com/
Jennifer Miller Jewelry,websales@jennifermillerjewelry.comCONNECT,http://www.jennifermillerjewelry.com/
"Graff New York, Madison Avenue",Anja.Vacca@graffusa.com,https://www.graff.com/stores/usa/new-york/graff-new-york/
Alexis Bittar,Careservice@alexisbittar.com888.807.7780,https://www.alexisbittar.com/
Jewelry Land,jewelrylandnyc@gmail.com,http://www.jewelrylandnyc.com/
Ring Concierge,info@ringconcierge.com,https://ringconcierge.com/
Reinstein Ross,info@reinsteinross.com,https://reinsteinross.com/
ZADEH NY,10128info@zadehny.com,http://www.zadehny.com/
Irene Neuwirth Madison Avenue,hello@ireneneuwirth.com,https://ireneneuwirth.com/
Jaded Jewels inc,jaded1048@aol.com,https://jadedjewels.com/pages/new-york-store
Rowan Upper East Side,studio.ues@heyrowan.com,https://heyrowan.com/pages/upper-east-side-piercing-studio?utm_medium=yext&utm_source=gmb&y_source=1_NTc0NTAxMDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
NYC Watches & Diamonds,9917SALES@NYCWATCHER.COMINFO,http://nycwatcher.com/
TAG Heuer,example@tagheuer.com,https://www.tagheuer.com/us/en/?y_source=1_MjYwNTk1NTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
NY Watch Lab,nywatchlab@gmail.com,https://www.nywatchlab.com/
Luxury Time NYC,luxurytimenyc@gmail.com,http://www.luxurytimenyc.com/
Watches Off 5TH,Sales@watchesoff5th.comAddress,http://www.watchesoff5th.com/
Bremont Boutique New York,info@bremont.com,https://us.bremont.com/pages/nearest-stores-bremont-boutiques-new-york
Madison Time,CDiamond@MadisonTimeWatches.com,http://www.madisontimewatches.com/
ElegantSwiss Watch Co.,Info@ElegantSwiss.com,http://www.elegantswiss.com/
Affordable Swiss Watches Inc.,info@affordableswisswatchesinc.com,https://www.affordableswisswatchesinc.com/
Midtown Watch Inc,info@midtownwatch.com15,https://midtownwatch.com/
Jacob & Co.,website.inquiries@jacobandco.comFLAGSHIP,http://www.jacobandco.com/
Watch Limit,shop@watchlimit.com,http://watchlimit.com/
The Watch King NYC,info@thewatchkingnyc.com,https://www.thewatchkingnyc.com/
Green Lane Coffee,Instagraminfo@greenlane.coffee,https://www.greenlane.coffee/
Oslo Coffee Roasters,sales@oslocoffee.com,http://www.oslocoffee.com/
Sip + Co.,Contactinfo@sipandco.co,http://sipandco.co/
Java Girl,filler@godaddy.comOrdersMy,https://javagirlnewyork.com/
Birch Coffee,30thstreet@birchcoffee.com,https://shop.birchcoffee.com/pages/visit
Cositas Café,Yorkinfo@cositascafenyc.com,https://www.cositascafenyc.com/
Festivál Cafe,Info@FestivalCafeNYC.comGeneral,https://www.festivalcafenyc.com/
Birch Coffee,30thstreet@birchcoffee.com,https://shop.birchcoffee.com/pages/visit
Dan Jones Coffee Bar,contacthello@danjonesnyc.com,http://www.danjonescoffee.com/
Winfield Street Coffee- 86th Street,info@winfieldcoffee.com,https://www.winfieldcoffee.com/
The Greats of Craft,touchinfo@greatsofcraft.com,http://www.greatsofcraft.com/
Fellini Coffee - Upper West,hello@fellinicoffee.com,http://fellinicoffee.com/
Hutch and Waldo,support@hutchandwaldo.com,https://hutchandwaldo.com/ordernow
JFD Shoe Repair,Info@jfdshoerepair.com,http://jfdshoerepair.com/
Yanz Leather Services,yanzshoe@gmail.com,https://yanzleather.com/
MarJos Shoe Repair,Marjosrepair@gmail.com,http://marjosrepair.com/
Cobbler Express,info@cobblerexpress.com,https://cobblerexpress.com/
Pookie & Sebastian,business@pookieandsebastian.com,http://www.pookieandsebastian.com/
LoveShackFancy,Connect619-373-1543customerservice@loveshackfancy.comMonday,http://loveshackfancy.com/
St. John Knits Boutique,clientservices@sjk.com,https://www.stjohnknits.com/
Spring Flowers Children's Boutique,Sample@email.com,https://www.fleurisse.com/pages/boutiques.html
La Mode Royale,info@lamoderoyale.nyc,https://www.lamoderoyale.nyc/
Wolford Boutique New York,service.usa@wolford.com,http://www.wolfordshop.com/
LanaBlu Boutique,info@volang.nyc,http://www.lanablu.com/
Wolford Boutique,service.usa@wolford.com,http://www.wolfordshop.com/
Artsy Flora Floral Boutique,10021212-472-3796service@artsyflora.com,https://artsyflora.com/
Really Great Things NYC Boutique,info@reallygreatthingsnyc.comFOLLOW,http://www.reallygreatthingsnyc.com/
Bremont Boutique New York,info@bremont.com,https://us.bremont.com/pages/nearest-stores-bremont-boutiques-new-york
Pesca Boutique,Sales@pescaboutique.com,http://www.pescaboutique.com/
CANALI,3131madison.shop@canali.itGet,https://us.canali.com/store/canali-boutique-new-york-new-york-10022/3?utm_source=google&utm_medium=organic&utm_campaign=gmb-negozi
Marina B Boutique,info@marinab.com,http://www.marinab.com/
Chip City,InformationContactCustomerService@ChipCityCookies.comOpen,https://chipcitycookies.com/locations/upper-east-side
Logos Bookstore,name@domain.com,https://www.logosbookstorenyc.com/
Lalu Deli Grocery,laludeli594@gmail.com,https://www.laludeli.com/
Ottomanelli Bros,orders@nycotto.comCopyright,https://www.nycotto.com/
Choices Books & Gift Shop,794-3858info@choicesgifts.comGet,http://www.choicesgifts.com/
PlantShed,info@plantshed.com,https://www.plantshed.com/
East End Wine Exchange,10028212-396-999968eastendwine@gmail.comPagesAboutShipping,http://eastendwines.nyc/
The Mansion,usinfo@mansiondiner.comCall,http://www.mansiondiner.com/
Siam Market,siammarketinc@gmail.com,https://www.mercato.com/shop/siam-market-thai-store
City Swiggers,Info@cityswiggers.com,http://www.cityswiggers.com/
S Feldman Housewares,contact@wares.nyc,https://sfeldmanhousewares.com/
MyCityOasis,filler@godaddy.comBookingsOrdersMy,http://www.mycityoasis.com/
Red Carpet,roben@redcarpetco.comName,https://www.redcarpetco.com/
Pastrami Queen,contact@pastramiqueen.com,http://pastramiqueen.com/
Sip + Co.,Contactinfo@sipandco.co,http://sipandco.co/
Westside Market NYC,wm1407@wmarketnyc.com,https://wmarketnyc.com/1407-lexington-avenue/?utm_source=gmb&utm_medium=Yext
Gastro Market,mike@gastromarket.nyc,https://www.gastromarket.nyc/
Westside Market NYC,catering110@wmarketnyc.com,https://wmarketnyc.com/2840-broadway/?utm_source=gmb&utm_medium=Yext
Lalu Deli Grocery,laludeli594@gmail.com,https://www.laludeli.com/
APF Munn Master Frame Makers,212-421-2187info@apfmunn.comQUEENS,https://apfmunn.com/
Spring Flowers Children's Boutique,Sample@email.com,https://www.fleurisse.com/pages/boutiques.html
East End Wine Exchange,10028212-396-999968eastendwine@gmail.comPagesAboutShipping,http://eastendwines.nyc/
Sara Japanese Pottery,Closedinfo@saranyc.com,http://www.saranyc.com/
Edit New York,rachel@editnewyork.com,http://www.editnewyork.com/
Gaspare Asaro,10022ga@gaspareasaro.com212.759.3999,http://www.gaspareasaro.com/
Small Business Next Step,info@SmallBusinessNextStep.com,https://smallbusinessnextstep.com/contactus/intro-new.html
John Salibello [211 E 60th],838-5767info@johnsalibello.com,http://johnsalibello.com/
MyCityOasis,filler@godaddy.comBookingsOrdersMy,http://www.mycityoasis.com/
DJI FIFTH AVENUE,333-2990sales@djinyc.comFROM,https://djinyc.com/fifth-avenue
Audio46 Headphones - Headphone Superstore,info@audio46.com,https://audio46.com/
Wellbots,support@wellbots.com,https://www.wellbots.com/
My Computer Tech - We Come to You!,tech@mycomputertechinc.com,http://mycomputertechinc.com/
repair star one wireless,repairstarone@gmail.com,https://www.repairstaronewireless.com/
FixAce - Cell Phone and Tablet Repair,support@fixace.comOur,https://www.fixace.com/
QuickTech Phone Repairs,Repairs.quicktech@gmail.comPhone,https://www.quicktechnyc.com/
SPR Computer - PC & Mac iPhone Repair,SPRNEWYORK@GMAIL.COM,https://sites.google.com/view/macbookrepairnyc/home
My Computer Tech - We Come to You!,tech@mycomputertechinc.com,http://mycomputertechinc.com/
iFixScreens Astoria Blvd,info@ifixscreens.com,https://ifixscreens.com/locations/astoria-ny/?utm_source=Google+&utm_medium=Organic&utm_campaign=Gmb+Astoria+Blvd
Jack's Place,info@jacksplaceny.com,http://www.jacksplaceny.com/
iPhone Repair Service | Buy&Fix Phones,buyandfixphone@gmail.com,http://buyandfixphones.com/
We Fix - Phone tablet laptop and watch Repair Near Me & Accessories @ Edgewater,Serv@thewefix.com,http://thewefix.com/
"Repair Station - Phone, Tablet, Computer",9396support@repairstation.us175,http://repairstation.us/
Forum Technical Solutions,info@forumtechnicalsolutions.com,https://forumtechnicalsolutions.com/
AppleBerry MacBook & iPhone Repair NYC,appleberryparts@gmail.com,https://appleberryrepairs.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink
"iFix CP - Phone Repair, Tablet Repair & Accessories @ Cliffside Park",info@ifixcpnj.com,http://www.ifixcpnj.com/
"DriveTech, Inc Computer Repair NYC",support@drivetechpc.com,https://drivetechpc.com/prices/
My Computer Tech - We Come to You!,tech@mycomputertechinc.com,http://mycomputertechinc.com/
Compucare Team,States6463704869compucareteamny@gmail.com,http://www.compucareteamny.com/
SPR Computer - PC & Mac iPhone Repair,SPRNEWYORK@GMAIL.COM,https://sites.google.com/view/macbookrepairnyc/home
LaptopMD+,info@laptopmd.com,https://www.laptopmd.com/
repair star one wireless,repairstarone@gmail.com,https://www.repairstaronewireless.com/
Tristate IT,info@tristateit.net,https://tristateit.net/
FixAce - Cell Phone and Tablet Repair,support@fixace.comOur,https://www.fixace.com/
Computers Made Simply Easy,Easyirma@learncomputerssimplyeasy.com,https://learncomputerssimplyeasy.com/
QuickTech Phone Repairs,Repairs.quicktech@gmail.comPhone,https://www.quicktechnyc.com/
Compuwork,info@cpwk.com,http://www.cpwk.com/
212 TecHelp Computer Services,help@212techelp.comCall,https://www.212techelp.com/
Comptechnyc,sebastian@comptechnyc.com,http://www.comptechnyc.com/
Jack's Place,info@jacksplaceny.com,http://www.jacksplaceny.com/
ZZ Day Spa,904-1552zzspabookings@gmail.com,https://zzdayspa.com/
Amenity Spa 90,usamenityspa90@gmail.comGood,https://amenityspa90.setmore.com/beta
400 Spa,Restore.spa400newyork@gmail.com,https://spa400newyork.wixsite.com/400-spa
Brightful Day Spa,brightfuldayspa@gmail.com,https://www.brightfuldayspa.com/
Le Salon Day Spa,LeSalonDaySpaNY@gmail.com,http://www.lesalondayspa.com/
REE Nail & Spa,reespainc@gmail.com,http://www.reespany.com/
Sunshine Health Spa,Sunshinetherapy2021@gmail.com,http://www.hjwtherpy.com/
Dorothy's Day Spa,contact@dorothysdayspa.com,https://dorothysdayspa.com/
Berry Blonde Spa,9174467720hello@berryblondespa.com,https://berryblondespa.com/
Spa W,spawnyc@gmail.com1409,https://www.spaw.nyc/
Eastside Massage Therapy,2927info@eastsidemassage.comSince,http://www.eastsidemassage.com/
YORKVILLE DAY SPA,info@yorkvilledayspa.com1628,http://www.yorkvilledayspa.com/
LING Spa Upper West Side,unsq@lingskincare.com,http://lingspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=3636714147590902418
SkinSpirit New York - UES,838-4800east89th@skinspirit.com,https://www.skinspirit.com/locations/nyc-east89/
"Graff New York, Madison Avenue",Anja.Vacca@graffusa.com,https://www.graff.com/stores/usa/new-york/graff-new-york/
Jennifer Miller Jewelry,websales@jennifermillerjewelry.comCONNECT,http://www.jennifermillerjewelry.com/
Alexis Bittar,Careservice@alexisbittar.com888.807.7780,https://www.alexisbittar.com/
R & R Jewelers,contact@rrjewelers.com,http://randrjewelers.com/
Bassano Jewelry,sales@bassanojewelry.com,http://www.bassanojewelry.com/
David Yurman,CustomerCare@davidyurman.com,https://www.davidyurman.com/stores/new-york-city-dy57.html?utm_source=gbp&utm_medium=organic&utm_campaign=57th-flagship-gbp
Ring Concierge,info@ringconcierge.com,https://ringconcierge.com/
Fantastic jewelry nyc online Jewelry store real gold 100%,info@fantasticjewelrynyc.com15,http://www.fantasticjewelrynyc.com/
Cellini Jewelers,appointment.contact@CelliniJewelers.com,https://www.cellinijewelers.com/
Sash Custom Made Jewelry & Repairs Inc,sashparm@gmail.com,https://sashjewelrydesign.com/
Jacob & Co.,website.inquiries@jacobandco.comFLAGSHIP,http://www.jacobandco.com/
NYC Watches & Diamonds,9917SALES@NYCWATCHER.COMINFO,http://nycwatcher.com/
Bremont Boutique New York,info@bremont.com,https://us.bremont.com/pages/nearest-stores-bremont-boutiques-new-york
Luxury Time NYC,luxurytimenyc@gmail.com,http://www.luxurytimenyc.com/
Midtown Watch Inc,info@midtownwatch.com15,https://midtownwatch.com/
Madison Time,CDiamond@MadisonTimeWatches.com,http://www.madisontimewatches.com/
TAG Heuer,example@tagheuer.com,https://www.tagheuer.com/us/en/?y_source=1_MjYwNTk1NTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Watches Off 5TH,Sales@watchesoff5th.comAddress,http://www.watchesoff5th.com/
Watch Limit,shop@watchlimit.com,http://watchlimit.com/
Affordable Swiss Watches Inc.,info@affordableswisswatchesinc.com,https://www.affordableswisswatchesinc.com/
ElegantSwiss Watch Co.,Info@ElegantSwiss.com,http://www.elegantswiss.com/
Vintage Watches NYC,Onlyinfo@vintagewatchesnyc.com,https://vintagewatchesnyc.com/
